External ID,Park Name,Region ID,Address,Lat,Lng,Place_ID
-2147483576,Mirror Lake,2,E10320 Fern Dell Rd Baraboo WI 53913 United States,43.5657947,-89.8182872,ChIJXx56KQVGB4gRPqEhEGBZPxk
-2147483499,Nelson Dewey,2,12190 Co Hwy VV Cassville WI 53806 United States,42.7315099,-91.0170102,ChIJPSPqzVe6_IcR3DvWIyAsc8I
-2147483476,New Glarus Woods,2,W5446 County Highway Nn New Glarus WI 53574 United States,42.7878267,-89.6342325,ChIJsV_RulfBB4gRZUD-hLubJeU
-2147483496,Newport,3,475 County Rd NP Ellison Bay WI 54210 United States,45.2350035,-86.992367,ChIJ-2uo-YoiTU0RXlgi6z7fz7k
-2147483468,Northern Highland - American Legion,3,4125 County Highway M Boulder Junction WI 54512 United States,45.7980901,-89.4301659,ChIJ3w9veMGvVU0RfGYm6aOrlVs
-2147483531,Pattison,1,6294 WI-35 Superior WI 54880 United States,46.5372963,-92.118581,ChIJ7bMPOt1CrlIRYW-Ck4_oXR8
-2147483648,Peninsula,3,9462 Shore Rd Fish Creek WI 54212 United States,45.1279703,-87.2366066,ChIJx0o0bs9HTU0RACXR2HZDZnI
-2147483523,Perrot,2,26247 Sullivan Rd Trempealeau WI 54661 United States,44.0202121,-91.47157,ChIJaTbjRG9B-YcRkyuOWFcjqeI
-2147483569,Point Beach,3,9400 County Rd O Two Rivers WI 54241 United States,44.1918366,-87.5192896,ChIJo3OcD9jMHIgRD_DoMFhrzjo
-2147483565,Potawatomi,3,3740 Park Dr Sturgeon Bay WI 54235 United States,44.8518734,-87.4250733,ChIJ9fma0f1QHYgRiroeIVUz3K0
-2147483406,Rib Mountain,3,4200 Park Rd Wausau WI 54401 United States,44.921581,-89.688221,ChIJD7UOjxwiAIgRzINzR7yFoLw
-2147483557,Richard Bong,4,26313 Burlington Rd Kansasville WI 53139 United States,42.6368035,-88.1408502,ChIJscW-Ux55BYgRgzJ7L1jHH0c
-2147483504,Roche-A-Cri,2,1767 State Hwy 13 Friendship WI 53934 United States,44.0000961,-89.8128831,ChIJuwa7p3O7AIgRUcl6oJkexqs
-2147483533,Rock Island,3,1924 Indian Point Rd Washington WI 54246 United States,45.4133958,-86.8174044,ChIJUzzAcCX9TE0RPgnC6GG3lYI
-2147483474,Rocky Arbor,2,Wisconsin Dells WI 53965 United States,43.6419444,-89.8058333,ChIJxX1Xx4ZPB4gR9wtIbFQp21o
-2147483404,Straight Lake,1,Straight Lake State Park Luck WI 54853 USA,45.6054134,-92.4135126,ChIJofKGGEiCrVIRwyBCbKYyaK8
-2147483402,Tower Hill,2,5808 County Rd C Spring Green WI 53588 United States,43.1469781,-90.0483324,ChIJQeisWw5__YcRdQwC0WtAOvk
-2147483472,Turtle Flambeau,1,Park Falls WI 54552 United States,46.0467519,-90.0871491,ChIJY8LXaFcPqlIRpcVPxppjx3U
-2147483400,Whitefish Dunes,3,3275 Clarks Lake Rd Sturgeon Bay WI 54235 United States,44.92795,-87.185189,ChIJvWf-hPRgHYgRqChUyJWNeQI
-2147483573,Wildcat Mountain,2,E13660 WI-33 Ontario WI 54651 United States,43.6993422,-90.5637729,ChIJz8K_2p7T_YcRsC1sevNY5io
-2147483398,Willow Flowage,3,5070- 5094 Willow Dam Rd Hazelhurst WI 54531 United States,45.7129667,-89.845378,ChIJjfLYlCqbVU0RzYrEo3hY3h0
-2147483584,Willow River,1,1034 Co Hwy A Hudson WI 54016 United States,45.0165709,-92.6876804,ChIJ03g02LuzslIROsbMF1lufn8
-2147483579,Wyalusing,2,State Park Ln Wyalusing WI 53801 USA,42.9806318,-91.1130794,ChIJU2iz2gyb_IcRCM17e7Xcx9w
-2147483535,Yellowstone Lake,2,8495 N Lake Rd Blanchardville WI 53516 United States,42.7708301,-89.9856825,ChIJ-T6Xrzj2B4gRSFrWiSJ99Kc
